LICENSE NUMBER,BUSINESS NAME,LICENSE TYPE,LICENSE EXPIRATION DATE,LICENSE STATUS,PIN,WARD,DISTRICT COUNCIL,ADDRESS,Location,COUNT
20040000866,CAPITAL WINE & SPIRIT,Liquor Off Sale,08/29/2019,Active,362923140024,1,7,531 RICE ST  ST PAUL MN 55103-2130,"(44.9572068201733, -93.106312016324)",1
20180000178,TRACKS BAR & GRILL,Liquor On Sale - 100 seats or less,07/30/2019,Active,252923110196,5,6,1091 RICE ST  ST PAUL MN 55117-4920,"(44.9740689051409, -93.106111192729)",1
20080000697,COOKS OF CROCUS HILL LLC,Liquor On Sale - 100 seats or less,06/06/2019,Active,022823310014,2,16,877 GRAND AVE  ST PAUL MN 55105-3008,"(44.9401472079202, -93.137180858127)",1
20140001898,PAYNE AVENUE WINE & SPIRITS,Liquor Off Sale,09/08/2019,Active,292922130184,6,5,980 PAYNE AVE  ST PAUL MN 55130-3902,"(44.9707875970283, -93.073339958284)",1
20150003726,SNELLING AVE FINE WINES,Liquor Off Sale,08/26/2019,Active,342923230176,4,11,500 SNELLING AVE N  ST PAUL MN 55104-2329,"(44.9562993935338, -93.166762759602)",1
20160002119,SWEET PEAS PUBLIC HOUSE,Liquor On Sale - 100 seats or less,08/01/2019,Active,102823230196,3,14,472 SNELLING AVE S  ST PAUL MN 55105-2147,"(44.9273940555895, -93.16654242457)",1
20160001981,ST PAUL SALOON,Liquor On Sale - 100 seats or less,08/18/2019,Active,332922310233,7,4,1045 HUDSON ROAD  ST PAUL MN 55106-6106,"(44.9523428642379, -93.05642925401)",1
20150002465,BLAIZE LIQUOR CORPORATION,Liquor Off Sale,08/11/2019,Active,192922330085,5,6,137 MARYLAND AVE W  ST PAUL MN 55117-4528,"(44.977957014389, -93.105365593693)",1
20130005423,TACO LIBRE,Liquor On Sale - 181-290 Seats,09/15/2019,Active,062822120059,2,17,354 WABASHA ST N  ST PAUL MN 55102-1418,"(44.9454424771747, -93.09401813589)",1
20140001654,PLAN B LOUNGE,Liquor On Sale - 100 seats or less,10/03/2019,Active,252923410132,1,6,879 RICE ST  ST PAUL MN 55117-5421,"(44.9676970974734, -93.10615819114)",1
19990007059,ELEMENTS CAFE,Liquor On Sale - 291 or more Seats,09/01/2019,Active,062822240077,2,9,120 KELLOGG BLVD W  ST PAUL MN 55114-1010,"(44.9428644037849, -93.098490392779)",1
20120000829,HAMLINE UNIVERSITY,Liquor On Sale - 291 or more Seats,09/01/2019,Active,272923330080,4,11,1536 HEWITT AVE  ST PAUL MN 55104-1205,"(44.9657647093439, -93.165272261021)",1
20170003022,OCTO FISHBAR,Liquor On Sale - 101-180 Seats,09/15/2019,Active,322922330386,,,289 5TH ST E UNIT 106 ST PAUL MN 55101,,1
20000003253,CHIPOTLE MEXICAN GRILL #128,Liquor On Sale - 100 seats or less,10/01/2019,Active,062822120128,2,17,29 5TH ST W  ST PAUL MN 55102-1402,"(44.9453574741736, -93.095405608854)",1
0050287,WILLARD'S LIQUORS,Liquor On Sale - 100 seats or less,09/14/2019,Active,352923140043,1,7,738 THOMAS AVE  ST PAUL MN 55104-2745,"(44.9592228422489, -93.131267091076)",1
20110001774,SKARDA'S,Liquor On Sale - 100 seats or less,10/01/2019,Active,112823410110,2,9,728 ARMSTRONG AVE  ST PAUL MN 55102-3804,"(44.9248352814677, -93.130437709075)",1
20010003342,OBB'S SPORTS BAR & GRILL,Liquor On Sale - 181-290 Seats,09/18/2019,Active,342922330135,7,4,1347 BURNS AVE  ST PAUL MN 55106-6518,"(44.9488316844567, -93.043337420971)",1
20000004587,THE NOOK,Malt Off Sale,09/28/2019,Active,102823420038,3,15,492 HAMLINE AVE S  ST PAUL MN 55105-2956,"(44.9266501080216, -93.1567169253)",1
20180001618,REVIVAL SMOKED MEATS,Liquor On Sale - 100 seats or less,09/18/2019,Active,122823230137,2,9,928 7TH ST W STE 105 ST PAUL MN 55102,"(44.9287264559048, -93.124903672844)",1
20180001616,IN BLOOM,Liquor On Sale - 101-180 Seats,09/18/2019,Active,122823230137,2,9,928 7TH ST W STE 101 ST PAUL MN 55102,"(44.9287264559048, -93.124903672844)",1
19990001983,CHIPOTLE MEXICAN GRILL #128,Liquor On Sale - 100 seats or less,06/04/2019,Active,172823110103,3,15,2082 FORD PKWY  ST PAUL MN 55116,"(44.9175833228657, -93.188313034395)",1
0034580,HUNAN GARDEN,Liquor On Sale - 181-290 Seats,10/01/2019,Active,062822120030,2,17,380 CEDAR ST  ST PAUL MN 55101-1705,"(44.9468790325147, -93.093600789425)",1
20080002145,PARK SQUARE THEATRE,Liquor On Sale - Theater,09/01/2019,Active,062822210041,2,17,20 7TH PLACE W  ST PAUL MN 55102,"(44.9468369222109, -93.096670363314)",1
20160003802,75 MARKET AND DELI INC,Malt Off Sale,10/01/2019,Active,282922440216,7,4,1187 MINNEHAHA AVE E  ST PAUL MN 55106-4718,"(44.96317349137, -93.050296481684)",1
20180002846,GAZTA AND ENHANCEMENTS LLC,Liquor On Sale - 100 seats or less,09/14/2019,Active,122823230137,2,9,928 7TH ST W STE 106 ST PAUL MN 55102,"(44.9287264559048, -93.124903672844)",1
20040004132,THE FOUNDRY PUB,Liquor On Sale - 100 seats or less,09/29/2019,Active,192922340055,5,6,1201 JACKSON ST  ST PAUL MN 55117-4611,"(44.9775358932715, -93.096597057999)",1
20160004150,THE BULLDOG RESTAURANT,Liquor On Sale - 101-180 Seats,10/01/2019,Active,312922440898,2,17,237 6TH ST E #100 ST PAUL MN 55101,"(44.9500208873072, -93.088102181752)",1
20180000245,RED RABBIT,Liquor On Sale - 101-180 Seats,09/17/2019,Active,022823420081,2,16,788 GRAND AVE  ST PAUL MN 55105-3306,"(44.9398194046242, -93.133305279384)",1
