Ward,Precinct,PrecinctName,Tot_Register,Tot_Vote,Vote%,Pro_Weight,Act_Weight,Representation%
2.0,W-2 P-2,Saint Paul W-2 P-2,1740.0,845,48.56%,0.010164382601380953,0.014300946062585678,140.6966524522869
2.0,W-2 P-3,Saint Paul W-2 P-3,2872.0,1039,36.18%,0.01677707289147477,0.017584240188197067,104.81113303818603
2.0,W-2 P-4,Saint Paul W-2 P-4,1585.0,653,41.20%,0.009258934725970582,0.011051500330021832,119.36038709748374
2.0,W-2 P-5,Saint Paul W-2 P-5,2495.0,1040,41.68%,0.014574789994508897,0.017601164384720834,120.76444594640566
2.0,W-2 P-6,Saint Paul W-2 P-6,660.0,232,35.15%,0.0038554554694893274,0.003926413593514648,101.84046021506039
2.0,W-2 P-7,Saint Paul W-2 P-7,2451.0,814,33.21%,0.014317759629876275,0.013776295970348807,96.21823753488906
2.0,W-2 P-8,Saint Paul W-2 P-8,1323.0,363,27.44%,0.007728435736567243,0.0061434833381285225,79.4919379229682
2.0,W-2 P-9,Saint Paul W-2 P-9,2094.0,724,34.57%,0.01223230871683432,0.012253118283209505,100.17011969577376
2.0,W-2 P-11,Saint Paul W-2 P-11,2863.0,870,30.39%,0.016724498498709005,0.01472405097567993,88.0388190821776
2.0,W-2 P-12,Saint Paul W-2 P-12,1811.0,731,40.36%,0.010579136144310866,0.012371587658875895,116.9432691867658
2.0,W-2 P-13,Saint Paul W-2 P-13,1591.0,610,38.34%,0.009293984321147758,0.010323759879499721,111.0800225475826
2.0,W-2 P-14,Saint Paul W-2 P-14,1813.0,537,29.62%,0.010590819342703258,0.009088293533264508,85.81294080449081
2.0,W-2 P-15,Saint Paul W-2 P-15,2911.0,598,20.54%,0.017004895260126413,0.01012066952121448,59.51621204598495
3.0,W-3 P-1,Saint Paul W-3 P-1,2137.0,1229,57.51%,0.012483497482270747,0.02079983752771337,166.61867042672628
3.0,W-3 P-2,Saint Paul W-3 P-2,2529.0,1407,55.63%,0.01477340436717956,0.023812344508944438,161.18386742222864
3.0,W-3 P-3,Saint Paul W-3 P-3,2871.0,1367,47.61%,0.016771231292278574,0.023135376647993637,137.9467985671696
3.0,W-3 P-4,Saint Paul W-3 P-4,1203.0,646,53.70%,0.0070274438330237285,0.010933030954355442,155.57621254798758
3.0,W-3 P-5,Saint Paul W-3 P-5,1914.0,685,35.79%,0.01118082086151905,0.011593074618782473,103.68715108102906
3.0,W-3 P-6,Saint Paul W-3 P-6,2209.0,1083,49.03%,0.012904092624396854,0.018328904835242948,142.03947049008144
3.0,W-3 P-7,Saint Paul W-3 P-7,1289.0,809,62.76%,0.00752982136389658,0.013691674987729958,181.8326667532615
3.0,W-3 P-8,Saint Paul W-3 P-8,1674.0,876,52.33%,0.009778837054432022,0.01482559615482255,151.60899064273914
3.0,W-3 P-9,Saint Paul W-3 P-9,2603.0,1314,50.48%,0.01520568270769806,0.022238394232233824,146.25054763884668
3.0,W-3 P-10,Saint Paul W-3 P-10,1585.0,788,49.72%,0.009258934725970582,0.013336266860730786,144.03673052498803
3.0,W-3 P-11,Saint Paul W-3 P-11,1948.0,422,21.66%,0.011379435234189711,0.007142010933030954,62.762437555535776
3.0,W-3 P-12,Saint Paul W-3 P-12,1919.0,1043,54.35%,0.01121002885750003,0.017651936974292147,157.46558013971733
3.0,W-3 P-13,Saint Paul W-3 P-13,2008.0,1018,50.70%,0.01172993118596147,0.017228832061197893,146.87922535997126
3.0,W-3 P-14,Saint Paul W-3 P-14,3791.0,1924,50.75%,0.022145502552778848,0.03256215411173355,147.0373229694334
4.0,W-4 P-1,Saint Paul W-4 P-1,1694.0,842,49.70%,0.009895669038355941,0.014250173473014369,144.00414381059255
4.0,W-4 P-2,Saint Paul W-4 P-2,1360.0,775,56.99%,0.007944574906826493,0.013116252305921776,165.09696817952388
4.0,W-4 P-3,Saint Paul W-4 P-3,2822.0,923,32.71%,0.01648499293166497,0.015621033391439741,94.75911488827087
4.0,W-4 P-4,Saint Paul W-4 P-4,1844.0,891,48.32%,0.010771908917785332,0.0150794591026791,139.9887356806521
