School,School_Num,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude,Subject
Humboldt High School,675.0,21.0,461.0,22.56,6.0,42.0,27.0,44.0,15.0,86.0,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Reading
Jackson Preparatory Elementary,1500.0,12.0,148.0,22.3,1.0,58.0,27.0,53.0,13.0,86.0,1,"437 Edmund Ave W, St Paul, MN 55103",44.958794299999994,-93.11812509999999,Reading
Jie Ming Mandarin Immersion Academy,1449.0,12.0,80.0,86.25,30.0,34.0,4.0,16.0,1.0,20.0,4,"1845 Sheridan Ave W, St Paul, MN 55116",44.9021561,-93.17898570000001,Reading
Jj Hill Montessori,1479.0,12.0,153.0,52.94,47.0,7.0,26.0,22.0,12.0,37.0,4,"998 Selby Ave, St Paul, MN 55104",44.9462463,-93.14267729999999,Reading
John A. Johnson Achievement Plus El.,1245.0,12.0,156.0,19.87,6.0,26.0,43.0,29.0,14.0,89.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Reading
Linwood Monroe Arts Plus Lower,1020.0,7.0,157.0,36.31,32.0,27.0,20.0,41.0,22.0,69.0,2,"1023 Osceola Ave, St Paul, MN 55105",44.93609230000001,-93.1435396,Reading
Linwood Monroe Arts Plus Upper,2112.0,26.0,470.0,43.4,28.0,19.0,33.0,29.0,20.0,66.0,3,"810 Palace Ave, St Paul, MN 55102",44.928376799999995,-93.1351524,Reading
Maxfield Elementary School,1572.0,12.0,124.0,16.94,6.0,6.0,69.0,8.0,19.0,82.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Reading
Murray Middle School,1026.0,21.0,673.0,46.06,36.0,20.0,24.0,17.0,14.0,58.0,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289,Reading
Nokomis Montessori North Campus,1599.0,12.0,134.0,38.06,28.0,49.0,11.0,36.0,17.0,60.0,3,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Reading
Nokomis Montessori South Campus,1602.0,12.0,115.0,38.26,23.0,43.0,13.0,32.0,17.0,55.0,3,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Reading
Obama Service Learning Elementary,1734.0,12.0,133.0,16.54,4.0,8.0,73.0,14.0,20.0,88.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Reading
Open World Learning Secondary,750.0,21.0,200.0,64.0,54.0,12.0,10.0,6.0,14.0,31.0,4,"640 Humboldt Ave, St Paul, MN 55107",44.9266188,-93.0844681,Reading
Parkway Montessori/Community Middle,1032.0,21.0,423.0,29.55,14.0,45.0,22.0,24.0,21.0,76.0,1,"1363 Bush Ave, St Paul, MN 55106",44.9654834,-93.0428322,Reading
Paul & Sheila Wellstone Elementary,1656.0,12.0,261.0,26.05,4.0,18.0,20.0,54.0,18.0,85.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Reading
