School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
Benjamin E Mays Magnet,1272.0,12.0,181.0,19.89,2.0,0.0,13.0,13.04,72.0,17.69,22.0,18.0,83.0,19.21,83.0,16.67,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading,Saint Paul
Bruce F Vento Elementary,1347.0,12.0,228.0,22.37,4.0,0.0,46.0,23.08,31.0,21.43,39.0,17.0,91.0,21.63,91.0,0.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Reading,Saint Paul
Capitol Hill Magnet/Rondo,2964.0,33.0,1044.0,69.64,37.0,88.21,25.0,58.24,24.0,52.99,9.0,6.0,44.0,53.7,44.0,82.19,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Reading,Saint Paul
Chelsea Heights Elementary,1275.0,12.0,220.0,56.36,46.0,72.55,10.0,17.39,22.0,43.75,13.0,14.0,50.0,43.12,50.0,69.37,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Reading,Saint Paul
Cherokee Heights Elementary School,1284.0,12.0,91.0,20.88,12.0,0.0,8.0,0.0,23.0,0.0,31.0,21.0,81.0,20.27,81.0,0.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Reading,Saint Paul
Como Park Elementary,1293.0,12.0,212.0,39.62,12.0,38.46,46.0,42.27,22.0,31.91,43.0,17.0,81.0,34.5,81.0,60.98,3,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Reading,Saint Paul
Creative Arts Secondary School,633.0,21.0,231.0,34.2,17.0,56.41,22.0,22.0,33.0,27.63,16.0,13.0,76.0,28.0,76.0,53.57,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Reading,Saint Paul
Crossroads Montessori,1395.0,12.0,86.0,41.86,21.0,0.0,22.0,15.79,22.0,0.0,15.0,12.0,63.0,29.63,63.0,53.12,3,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading,Saint Paul
Crossroads Science Program,1398.0,12.0,146.0,34.93,9.0,0.0,26.0,31.58,47.0,24.64,19.0,12.0,75.0,29.09,75.0,36.11,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Reading,Saint Paul
Daytons Bluff Elementary,1299.0,12.0,142.0,18.31,8.0,0.0,23.0,12.5,44.0,12.7,25.0,20.0,83.0,18.64,83.0,0.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Reading,Saint Paul
Eastern Heights Elementary,1356.0,12.0,139.0,28.06,11.0,0.0,40.0,27.27,22.0,6.67,45.0,19.0,76.0,19.05,76.0,55.88,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Reading,Saint Paul
Expo For Excellence Elementary Sch,1305.0,12.0,313.0,61.02,54.0,78.57,5.0,0.0,26.0,27.5,11.0,15.0,36.0,28.07,36.0,79.9,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Reading,Saint Paul
Farnsworth Aerospace Lower,916.0,7.0,206.0,32.52,8.0,0.0,68.0,27.14,11.0,27.27,57.0,9.0,73.0,28.67,73.0,42.86,2,"1290 Arcade St, St Paul, MN 55106",44.98080359999999,-93.0640926,Reading,Saint Paul
Farnsworth Aerospace Upper,1260.0,26.0,618.0,32.36,5.0,0.0,61.0,34.83,18.0,25.23,31.0,13.0,78.0,29.02,78.0,43.88,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Reading,Saint Paul
Four Seasons Elementary,1380.0,12.0,225.0,15.11,15.0,12.12,17.0,2.56,42.0,15.96,40.0,16.0,80.0,13.33,80.0,22.22,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Reading,Saint Paul
Frost Lake Elementary School,1392.0,12.0,239.0,25.1,7.0,0.0,47.0,26.55,25.0,21.67,51.0,15.0,84.0,24.5,84.0,28.21,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Reading,Saint Paul
Galtier Elementary School,1401.0,12.0,71.0,23.94,18.0,0.0,15.0,0.0,39.0,17.86,27.0,13.0,73.0,13.46,73.0,0.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Reading,Saint Paul
Groveland Park Elementary,1428.0,12.0,189.0,56.08,44.0,71.43,5.0,0.0,30.0,33.93,14.0,14.0,50.0,34.74,50.0,77.66,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Reading,Saint Paul
Hamline Elementary School,1446.0,12.0,133.0,33.08,14.0,0.0,10.0,0.0,54.0,22.22,22.0,15.0,71.0,26.6,71.0,48.72,2,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Reading,Saint Paul
Hazel Park Preparatory Academy,2934.0,33.0,438.0,21.69,3.0,0.0,31.0,31.62,46.0,12.94,24.0,16.0,89.0,20.0,89.0,27.08,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Reading,Saint Paul
Highland Park Elementary,1473.0,12.0,197.0,43.15,27.0,75.47,10.0,0.0,48.0,24.47,30.0,7.0,63.0,25.81,63.0,72.6,3,"1700 W Saunders Ave, St Paul, MN 55116",44.9139273,-93.1700434,Reading,Saint Paul
Highland Park Middle School,990.0,21.0,774.0,55.94,40.0,82.58,5.0,50.0,19.0,38.0,11.0,10.0,47.0,31.3,47.0,77.48,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Reading,Saint Paul
