IntersectionID,Intersection1,Intersection2,Coordinates
69,Avon,University,"44.955826, -93.133951"
70,Grotto,PIERCEBUTLER,"44.964722, -93.131433"
71,Grotto,Englewood,"44.963878, -93.131431"
72,Grotto,Minnehaha,"44.962975, -93.131446"
73,Grotto,Vanburen,"44.962068, -93.131437"
74,Grotto,Blair,"44.961170, -93.131442"
75,Grotto,Lafond,"44.960253, -93.131436"
76,Grotto,Thomas,"44.959356, -93.131431"
77,Grotto,Edmund,"44.958439, -93.131433"
78,Grotto,Charles,"44.957534, -93.131426"
79,Grotto,Sherburne,"44.956629, -93.131421"
80,Grotto,University,"44.955823, -93.131420"
81,STAlbans,PIERCEBUTLER,"44.964715, -93.128956"
82,STAlbans,Minnehaha,"44.962968, -93.128920"
83,STAlbans,Vanburen,"44.962057, -93.128917"
84,STAlbans,Blair,"44.961157, -93.128898"
85,STAlbans,Lafond,"44.960255, -93.128905"
86,STAlbans,Thomas,"44.959350, -93.128908"
87,STAlbans,Edmund,"44.958442, -93.128904"
88,STAlbans,Charles,"44.957537, -93.128905"
89,STAlbans,Sherburne,"44.956629, -93.128896"
90,STAlbans,University,"44.955823, -93.128895"
91,Dale,Minnehaha,"44.962978, -93.126323"
92,Dale,Vanburen,"44.962049, -93.126341"
93,Dale,Blair,"44.961157, -93.126340"
94,Dale,Lafond,"44.960251, -93.126380"
95,Dale,Thomas,"44.959342, -93.126371"
96,Dale,Edmund,"44.958439, -93.126376"
97,Dale,Charles,"44.957541, -93.126320"
98,Dale,Sherburne,"44.956637, -93.126377"
99,Dale,University,"44.955828, -93.126376"
100,Kent,Minnehaha,"44.962986, -93.123826"
101,Kent,Vanburen,"44.962048, -93.123821"
102,Kent,Blair,"44.961153, -93.123816"
103,Kent,Lafond,"44.960254, -93.123811"
104,Kent,Thomas,"44.959354, -93.123806"
105,Kent,Edmund,"44.958457, -93.123799"
106,Kent,Charles,"44.957558, -93.123794"
107,Kent,Sherburne,"44.956657, -93.123794"
108,Kent,University,"44.955837, -93.123795"
109,Mackubin,Minnehaha,"44.962985, -93.121261"
110,Mackubin,Vanburen,"44.962058, -93.121261"
111,Mackubin,Blair,"44.961158, -93.121254"
112,Mackubin,Lafond,"44.960255, -93.121253"
113,Mackubin,Thomas,"44.959365, -93.121234"
114,Mackubin,Edmund,"44.958469, -93.121234"
115,Mackubin,Charles,"44.957567, -93.121249"
116,Mackubin,Sherburne,"44.956661, -93.121237"
117,Mackubin,University,"44.955842, -93.121236"
118,Arundel,Minnehaha,"44.962968, -93.118671"
119,Arundel,Vanburen,"44.962067, -93.118676"
120,Arundel,Blair,"44.961177, -93.118683"
121,Arundel,Lafond,"44.960274, -93.118678"
122,Arundel,Thomas,"44.959368, -93.118665"
123,Arundel,Edmund,"44.958472, -93.118665"
124,Arundel,Charles,"44.957576, -93.118668"
125,Arundel,Sherburne,"44.956669, -93.118676"
126,Arundel,University,"44.955853, -93.118679"
127,Western,Como,"44.964581, -93.116155"
128,Western,Minnehaha,"44.962967, -93.116180"
129,Western,Vanburen,"44.962279, -93.116176"
130,Western,Blair,"44.961430, -93.116181"
131,Western,Lafond,"44.960448, -93.116174"
132,Western,Thomas,"44.959379, -93.116175"
133,Western,Edmund,"44.958481, -93.116175"
134,Western,Charles,"44.957571, -93.116178"
135,Western,Sherburne,"44.956677, -93.116159"
136,Western,University,"44.955870, -93.116148"
137,Virginia,Como,"44.963801, -93.114719"
138,Virginia,Minnehaha,"44.962975, -93.114728"
139,Virginia,Vanburen,"44.962274, -93.114736"
140,Virginia,Blair,"44.961427, -93.114733"
141,Virginia,Lafond,"44.960441, -93.114734"
142,Virginia,Thomas,"44.959374, -93.114722"
143,Virginia,Edmund,"44.958485, -93.114849"
144,Virginia,Charles,"44.957572, -93.114849"
145,Virginia,Sherburne,"44.956666, -93.114846"
146,Virginia,University,"44.955872, -93.114846"
147,Farrington,Minnehaha,"44.962988, -93.113424"
148,Farrington,Vanburen,"44.962263, -93.113432"
149,Farrington,Blair,"44.961422, -93.113435"
150,Farrington,Lafond,"44.960437, -93.113424"
151,Farrington,Thomas,"44.959383, -93.113430"
152,Farrington,Edmund,"44.958487, -93.113425"
153,Farrington,Charles,"44.957578, -93.113414"
154,Farrington,Sherburne,"44.956684, -93.113421"
155,Farrington,University,"44.955875, -93.113418"
156,Elfelt,Vanburen,"44.962269, -93.111974"
157,Elfelt,Blair,"44.961419, -93.112012"
158,Elfelt,Lafond,"44.960431, -93.112017"
159,Elfelt,Thomas,"44.959384, -93.112008"
160,Elfelt,Edmund,"44.958497, -93.112009"
161,Elfelt,Charles,"44.957590, -93.112004"
164,Galtier,Lafond,"44.960422, -93.110590"
165,Galtier,Thomas,"44.959387, -93.110589"
166,Galtier,Edmund,"44.958498, -93.110588"
167,Galtier,Charles,"44.957593, -93.110592"
168,Galtier,Sherburne,"44.956689, -93.110588"
169,Galtier,University,"44.955859, -93.110583"
170,Galtier,Como,"44.961513, -93.110586"
171,Marion,Como,"44.960768, -93.109253"
172,Marion,Thomas,"44.959398, -93.109363"
173,Marion,Edmund,"44.958506, -93.109361"
174,Marion,Charles,"44.957592, -93.109346"
175,Marion,Sherburne,"44.956705, -93.109355"
176,Marion,University,"44.955888, -93.109287"
177,Marion,Aurora,"44.954892, -93.109300"
178,Rice,Como,"44.958975, -93.105941"
179,Rice,Edmund,"44.958528, -93.105949"
180,Rice,Charles,"44.957614, -93.105951"
181,Rice,Sherburne,"44.956848, -93.105964"
182,Rice,University,"44.955847, -93.105959"
183,Rice,Aurora,"44.954890, -93.105965"
184,Marion,Fuller,"44.953989, -93.109333"
185,Marion,Ravoux,"44.952202, -93.109951"
186,Marion,stanthony,"44.951379, -93.110043"
187,StAnthony,Ravoux,"44.951390, -93.113338"
188,Galtier,Aurora,"44.954891, -93.111016"
189,Galtier,Fuller,"44.953991, -93.111021"
190,Farrington,Aurora,"44.954888, -93.113270"
191,Farrington,Fuller,"44.953989, -93.113264"
192,Farrington,Virginia,"44.952219, -93.113287"
193,Virginia,Aurora,"44.954881, -93.114693"
194,Virginia,Fuller,"44.953981, -93.114697"
195,Western,Aurora,"44.954906, -93.116150"
196,Western,Fuller,"44.953985, -93.116142"
197,Western,Central,"44.953090, -93.116145"
198,Western,stanthony,"44.951786, -93.116136"
199,Arundel,Central,"44.953081, -93.118654"
200,Arundel,stanthony,"44.952177, -93.118666"
201,Arundel,Aurora,"44.954895, -93.118649"
202,Mackubin,Aurora,"44.954884, -93.121223"
203,Kent,Central,"44.953043, -93.123781"
204,Kent,stanthony,"44.952165, -93.123766"
205,Dale,Aurora,"44.954812, -93.126369"
206,Dale,Fuller,"44.953949, -93.126372"
207,Dale,Central,"44.953021, -93.126372"
208,Dale,stanthony,"44.952142, -93.126381"
209,StAlbans,Aurora,"44.954812, -93.128893"
210,StAlbans,Fuller,"44.953939, -93.128892"
211,StAlbans,Central,"44.953038, -93.128879"
212,StAlbans,stanthony,"44.952151, -93.128878"
213,Grotto,Aurora,"44.954828, -93.131430"
214,Grotto,Fuller,"44.953936, -93.131418"
215,Grotto,Central,"44.953045, -93.131414"
216,Grotto,stanthony,"44.952159, -93.131401"
217,Avon,Aurora,"44.954832, -93.133240"
218,Avon,Fuller,"44.953940, -93.133228"
219,Avon,Central,"44.953048, -93.133223"
220,Avon,stanthony,"44.952160, -93.133218"
221,Fisk ,Aurora,"44.954830, -93.136487"
222,Fisk ,Fuller,"44.953945, -93.134856"
223,Fisk ,Central,"44.953047, -93.134838"
224,Victoria,Aurora,"44.954830, -93.136487"
225,Victoria,Fuller,"44.953944, -93.136480"
226,Victoria,Central,"44.953056, -93.136481"
227,Victoria,stanthony,"44.952147, -93.136472"
228,Milton,Aurora,"44.954836, -93.139027"
229,Milton,Fuller,"44.953947, -93.139021"
230,Milton,Central,"44.953054, -93.139016"
231,Milton,stanthony,"44.952155, -93.139017"
232,Chatsworth,Aurora,"44.954835, -93.141553"
233,Chatsworth,Fuller,"44.953945, -93.141544"
234,Chatsworth,Central,"44.953051, -93.141553"
235,Chatsworth,stanthony,"44.952151, -93.141558"
236,Oxford,Aurora,"44.954837, -93.144094"
237,Oxford,Fuller,"44.953937, -93.144097"
238,Oxford,Central,"44.953045, -93.144098"
239,Oxford,stanthony,"44.952160, -93.144101"
240,Lexington,Aurora,"44.954837, -93.146552"
241,Lexington,Fuller,"44.953930, -93.146544"
242,Lexington,Central,"44.953039, -93.146769"
243,Lexington,stanthony,"44.952177, -93.146790"
244,Dunlap,Central,"44.953044, -93.149184"
245,Bigelow,stanthony,"44.952242, -93.148126"
246,Griggs,stanthony,"44.952239, -93.151726"
247,Syndicate,stanthony,"44.952266, -93.154252"
248,Griggs,Bigelow,"44.952414, -93.151721"
249,Hamline,PIERCEBUTLER,"44.967874, -93.156858"
250,Hamline,Taylor,"44.967447, -93.156857"
251,Hamline,Hewitt,"44.966555, -93.156849"
252,Hamline,Hubbard,"44.965647, -93.156863"
253,Hamline,Seminary,"44.964744, -93.156844"
254,Hamline,Englewood,"44.964131, -93.156851"
255,Hamline,Minnehaha,"44.962956, -93.156832"
256,Hamline,Vanburen,"44.962043, -93.156821"
257,Hamline,Blair,"44.961131, -93.156821"
258,Hamline,Lafond,"44.960235, -93.156825"
259,Hamline,Thomas,"44.959336, -93.156833"
260,Hamline,Edmund,"44.958427, -93.156833"
261,Hamline,Charles,"44.957520, -93.156829"
262,Hamline,Sherburne,"44.956616, -93.156828"
263,Hamline,University,"44.955811, -93.156832"
264,Taylor,PIERCEBUTLER,"44.967529, -93.152682"
