Block,For_Address,Latitude,Longitude
104x fuller av,"1040 Fuller Ave, St Paul, MN 55104, USA",44.953724,-93.1443431
104x grand av,"1040 Grand Ave, St Paul, MN 55105, USA",44.939796799999996,-93.1442715
104x hubbard av,"1040 Hubbard Ave, St Paul, MN 55104, USA",44.96552820000001,-93.1443148
104x lafond av,"1040 Lafond Ave, St Paul, MN 55104, USA",44.960277399999995,-93.14412320000001
104x minnehaha av w,"1040 W Minnehaha Ave, St Paul, MN 55104, USA",44.96279639999999,-93.14429
104x seminary av,"1040 W Seminary Ave, St Paul, MN 55104, USA",44.96461799999999,-93.1442935
104x sherburne av,"1040 Sherburne Ave, St Paul, MN 55104, USA",44.9566404,-93.1441269
104x stinson st,"1040 Stinson St, St Paul, MN 55103, USA",44.969136400000004,-93.1442786
104x thomas av,"1040 Thomas Ave W, St Paul, MN 55104, USA",44.9593701,-93.144082
104x university av w,"1040 University Ave W, St Paul, MN 55104, USA",44.9556282,-93.1440869
104x vanburen av,"1040 Van Buren Ave, St Paul, MN 55104, USA",44.9620963,-93.1441275
105x burgess st,"1050 Burgess St, St Paul, MN 55103, USA",44.9681802,-93.14455179999999
105x edmund av,"1050 Edmund Ave W, St Paul, MN 55104, USA",44.95826779999999,-93.14469670000001
105x englewood av,"1050 Englewood Ave, St Paul, MN 55104, USA",44.96369910000001,-93.1445858
105x lafond av,"1050 Lafond Ave, St Paul, MN 55104, USA",44.9600572,-93.14453950000001
105x marshall av,"1050 Marshall Ave, St Paul, MN 55104, USA",44.9482248,-93.1445891
105x minnehaha av w,"1050 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627889,-93.14456440000001
105x piercebutler rd,"1050 W Pierce Butler Route, St Paul, MN 55104, USA",44.96647369999999,-93.1445688
105x seminary av,"1050 W Seminary Ave, St Paul, MN 55104, USA",44.9646093,-93.1446071
105x sherburne av,"1050 Sherburne Ave, St Paul, MN 55104, USA",44.95644859999999,-93.14461750000001
105x stinson st,"1050 Stinson St, St Paul, MN 55103, USA",44.969063500000004,-93.1446189
105x university av w,"1050 University Ave W, St Paul, MN 55104, USA",44.9556269,-93.1444793
105x vanburen av,"1050 Van Buren Ave, St Paul, MN 55104, USA",44.961915000000005,-93.14454700000002
105x western av n,"1050 Western Ave N, St Paul, MN 55117, USA",44.9728845,-93.115779
106x blair av,"1060 Blair Ave, St Paul, MN 55104, USA",44.9609994,-93.1449623
106x central av w,"1060 Central Ave W, St Paul, MN 55104, USA",44.952669,-93.1449507
106x charles av,"1060 Charles Ave, St Paul, MN 55104, USA",44.957336700000006,-93.1449777
106x edmund av,"1060 Edmund Ave W, St Paul, MN 55104, USA",44.958264,-93.14505159999999
106x englewood av,"1060 Englewood Ave, St Paul, MN 55104, USA",44.963722499999996,-93.1450602
106x front av,"1060 Front Ave, St Paul, MN 55103, USA",44.969952899999996,-93.144982
106x fuller av,"1060 Fuller Ave, St Paul, MN 55104, USA",44.9537223,-93.14502420000001
106x hubbard av,"1060 Hubbard Ave, St Paul, MN 55104, USA",44.965503999999996,-93.1449684
106x iglehart av,"1060 Iglehart Ave, St Paul, MN 55104, USA",44.949209,-93.144924
106x lafond av,"1060 Lafond Ave, St Paul, MN 55104, USA",44.9600838,-93.1448963
106x marshall av,"1060 Marshall Ave, St Paul, MN 55104, USA",44.9482773,-93.1450095
106x minnehaha av w,"1060 W Minnehaha Ave, St Paul, MN 55104, USA",44.96276829999999,-93.1449304
106x seminary av,"1060 W Seminary Ave, St Paul, MN 55104, USA",44.964597499999996,-93.1450384
106x sherburne av,"1060 Sherburne Ave, St Paul, MN 55104, USA",44.956434200000004,-93.1449763
106x thomas av,"1060 Thomas Ave W, St Paul, MN 55104, USA",44.959103000000006,-93.145005
106x university av w,"1060 University Ave W, St Paul, MN 55104, USA",44.9556256,-93.144892
106x vanburen av,"1060 Van Buren Ave, St Paul, MN 55104, USA",44.9618839,-93.1449392
107x 3 st e,"1070 3rd St E, St Paul, MN 55106, USA",44.9565115,-93.05522629999999
107x blair av,"1070 Blair Ave, St Paul, MN 55104, USA",44.9609988,-93.145298
107x central av w,"1070 Central Ave W, St Paul, MN 55104, USA",44.9527873,-93.1453489
107x charles av,"1070 Charles Ave, St Paul, MN 55104, USA",44.95735699999999,-93.14536329999999
107x edmund av,"1070 Edmund Ave W, St Paul, MN 55104, USA",44.9582474,-93.1454415
107x englewood av,"1070 Englewood Ave, St Paul, MN 55104, USA",44.9636941,-93.1454307
107x flandrau st,"1070 Flandrau St, St Paul, MN 55106, USA",44.9738013,-93.02752740000001
107x front av,"1070 Front Ave, St Paul, MN 55103, USA",44.970018700000004,-93.1453196
107x fuller av,"1070 Fuller Ave, St Paul, MN 55104, USA",44.9537213,-93.1453623
107x hazelwood st,"1070 Hazelwood St, St Paul, MN 55106, USA",44.9734973,-93.0352351
107x hubbard av,"1070 Hubbard Ave, St Paul, MN 55104, USA",44.96550389999999,-93.1452205
107x iglehart av,"1070 Iglehart Ave, St Paul, MN 55104, USA",44.9491829,-93.1452511
107x lafond av,"1070 Lafond Ave, St Paul, MN 55104, USA",44.96005359999999,-93.1452796
107x marshall av,"1070 Marshall Ave, St Paul, MN 55104, USA",44.948231899999996,-93.1453678
107x minnehaha av w,"1070 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627701,-93.1452834
107x piercebutler rd,"1070 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664736,-93.1454021
107x reaney av,"1070 Reaney Ave E, St Paul, MN 55106, USA",44.963784999999994,-93.0553052
107x seminary av,"1070 W Seminary Ave, St Paul, MN 55104, USA",44.9646124,-93.14530400000001
107x sherburne av,"1070 Sherburne Ave, St Paul, MN 55104, USA",44.956428100000004,-93.1453623
107x stanthony av,"1070 St Anthony Ave, St Paul, MN 55104, USA",44.95214379999999,-93.1450488
107x stinson st,"1070 Stinson St, St Paul, MN 55103, USA",44.9690653,-93.14536590000002
