Block,For_Address,Latitude,Longitude
104x central av w,"1040 Central Ave W, St Paul, MN 55104, USA",44.9530433,-93.1440971
104x charles av,"1040 Charles Ave, St Paul, MN 55104, USA",44.9575536,-93.14408499999999
104x edmund av,"1040 Edmund Ave W, St Paul, MN 55104, USA",44.9584586,-93.14409130000001
104x englewood av,"1040 Englewood Ave, St Paul, MN 55104, USA",44.96390419999999,-93.1441139
104x front av,"1040 Front Ave, St Paul, MN 55103, USA",44.9701152,-93.1439427
104x fuller av,"1040 Fuller Ave, St Paul, MN 55104, USA",44.953724,-93.1443431
104x grand av,"1040 Grand Ave, St Paul, MN 55105, USA",44.9397968,-93.1442715
104x hubbard av,"1040 Hubbard Ave, St Paul, MN 55104, USA",44.96552820000001,-93.14431479999999
104x lafond av,"1040 Lafond Ave, St Paul, MN 55104, USA",44.9602774,-93.1441232
104x minnehaha av w,"1040 W Minnehaha Ave, St Paul, MN 55104, USA",44.96279639999999,-93.14429
104x seminary av,"1040 W Seminary Ave, St Paul, MN 55104, USA",44.96461799999999,-93.14429349999999
104x sherburne av,"1040 Sherburne Ave, St Paul, MN 55104, USA",44.9566404,-93.14412689999999
104x stinson st,"1040 Stinson St, St Paul, MN 55103, USA",44.9691364,-93.14427859999999
104x thomas av,"1040 Thomas Ave W, St Paul, MN 55104, USA",44.9593701,-93.144082
104x university av w,"1040 University Ave W, St Paul, MN 55104, USA",44.9556282,-93.14408689999999
104x vanburen av,"1040 Van Buren Ave, St Paul, MN 55104, USA",44.9620963,-93.1441275
105x burgess st,"1050 Burgess St, St Paul, MN 55103, USA",44.9681802,-93.1445518
105x edmund av,"1050 Edmund Ave W, St Paul, MN 55104, USA",44.95826779999999,-93.1446967
105x englewood av,"1050 Englewood Ave, St Paul, MN 55104, USA",44.9636991,-93.1445858
105x lafond av,"1050 Lafond Ave, St Paul, MN 55104, USA",44.9600572,-93.1445395
105x marshall av,"1050 Marshall Ave, St Paul, MN 55104, USA",44.9482248,-93.14458909999999
105x minnehaha av w,"1050 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627889,-93.1445644
105x piercebutler rd,"1050 W Pierce Butler Route, St Paul, MN 55104, USA",44.96647369999999,-93.1445688
105x seminary av,"1050 W Seminary Ave, St Paul, MN 55104, USA",44.9646093,-93.1446071
105x sherburne av,"1050 Sherburne Ave, St Paul, MN 55104, USA",44.95644859999999,-93.1446175
105x stinson st,"1050 Stinson St, St Paul, MN 55103, USA",44.9690635,-93.1446189
105x university av w,"1050 University Ave W, St Paul, MN 55104, USA",44.9556269,-93.1444793
105x vanburen av,"1050 Van Buren Ave, St Paul, MN 55104, USA",44.961915,-93.14454700000002
105x western av n,"1050 Western Ave N, St Paul, MN 55117, USA",44.9728845,-93.11577899999999
106x blair av,"1060 Blair Ave, St Paul, MN 55104, USA",44.9609994,-93.14496229999999
106x central av w,"1060 Central Ave W, St Paul, MN 55104, USA",44.952669,-93.1449507
106x charles av,"1060 Charles Ave, St Paul, MN 55104, USA",44.9573367,-93.1449777
106x edmund av,"1060 Edmund Ave W, St Paul, MN 55104, USA",44.958264,-93.1450516
106x englewood av,"1060 Englewood Ave, St Paul, MN 55104, USA",44.9637225,-93.14506019999999
106x front av,"1060 Front Ave, St Paul, MN 55103, USA",44.9699529,-93.144982
106x fuller av,"1060 Fuller Ave, St Paul, MN 55104, USA",44.9537223,-93.1450242
106x hubbard av,"1060 Hubbard Ave, St Paul, MN 55104, USA",44.965504,-93.1449684
106x iglehart av,"1060 Iglehart Ave, St Paul, MN 55104, USA",44.949209,-93.14492399999999
106x lafond av,"1060 Lafond Ave, St Paul, MN 55104, USA",44.9600838,-93.1448963
106x marshall av,"1060 Marshall Ave, St Paul, MN 55104, USA",44.9482773,-93.1450095
106x minnehaha av w,"1060 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627683,-93.14493039999999
106x seminary av,"1060 W Seminary Ave, St Paul, MN 55104, USA",44.9645975,-93.14503839999999
106x sherburne av,"1060 Sherburne Ave, St Paul, MN 55104, USA",44.9564342,-93.1449763
106x thomas av,"1060 Thomas Ave W, St Paul, MN 55104, USA",44.959103,-93.145005
106x university av w,"1060 University Ave W, St Paul, MN 55104, USA",44.9556256,-93.144892
106x vanburen av,"1060 Van Buren Ave, St Paul, MN 55104, USA",44.9618839,-93.14493920000001
107x 3 st e,"1070 3rd St E, St Paul, MN 55106, USA",44.9565115,-93.0552263
107x blair av,"1070 Blair Ave, St Paul, MN 55104, USA",44.9609988,-93.145298
107x central av w,"1070 Central Ave W, St Paul, MN 55104, USA",44.9527873,-93.1453489
107x charles av,"1070 Charles Ave, St Paul, MN 55104, USA",44.95735699999999,-93.1453633
107x edmund av,"1070 Edmund Ave W, St Paul, MN 55104, USA",44.9582474,-93.1454415
107x englewood av,"1070 Englewood Ave, St Paul, MN 55104, USA",44.9636941,-93.14543069999999
107x flandrau st,"1070 Flandrau St, St Paul, MN 55106, USA",44.9738013,-93.0275274
107x front av,"1070 Front Ave, St Paul, MN 55103, USA",44.9700187,-93.1453196
107x fuller av,"1070 Fuller Ave, St Paul, MN 55104, USA",44.9537213,-93.1453623
107x hazelwood st,"1070 Hazelwood St, St Paul, MN 55106, USA",44.9734973,-93.0352351
107x hubbard av,"1070 Hubbard Ave, St Paul, MN 55104, USA",44.96550389999999,-93.1452205
107x iglehart av,"1070 Iglehart Ave, St Paul, MN 55104, USA",44.9491829,-93.1452511
107x lafond av,"1070 Lafond Ave, St Paul, MN 55104, USA",44.96005359999999,-93.1452796
107x marshall av,"1070 Marshall Ave, St Paul, MN 55104, USA",44.9482319,-93.1453678
107x minnehaha av w,"1070 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627701,-93.1452834
107x piercebutler rd,"1070 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664736,-93.1454021
107x reaney av,"1070 Reaney Ave E, St Paul, MN 55106, USA",44.963785,-93.05530519999999
107x seminary av,"1070 W Seminary Ave, St Paul, MN 55104, USA",44.9646124,-93.145304
107x sherburne av,"1070 Sherburne Ave, St Paul, MN 55104, USA",44.9564281,-93.1453623
107x stanthony av,"1070 St Anthony Ave, St Paul, MN 55104, USA",44.95214379999999,-93.1450488
107x stinson st,"1070 Stinson St, St Paul, MN 55103, USA",44.9690653,-93.1453659
107x thomas av,"1070 Thomas Ave W, St Paul, MN 55104, USA",44.95917559999999,-93.14537279999999
107x university av w,"1070 University Ave W, St Paul, MN 55104, USA",44.9556262,-93.1452052
107x vanburen av,"1070 Van Buren Ave, St Paul, MN 55104, USA",44.961885,-93.1453834
107x virginia st,"1070 Virginia St, St Paul, MN 55117, USA",44.9735548,-93.11450049999999
108x central av w,"1080 Central Ave W, St Paul, MN 55104, USA",44.9530405,-93.14574759999999
