X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.3042625867599,45.0019215500936,0021XX JAMES AVE N,MP20216860          ,4     ,2021/01/10 00:00:00+00,1722,2021/01/10 00:00:00+00,2021/01/10 17:22:00+00,100,THEFT   ,OTHER THEFT                   ,07 ,2021/01/11 00:00:00+00,18640,-93.30426531,45.00192159,-10386583,5621824,Jordan,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,154
-93.2476148249433,44.9703760081742,0016XX 4TH ST S,MP20216864          ,1     ,2021/01/10 00:00:00+00,1610,2021/01/10 00:00:00+00,2021/01/10 16:10:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,20033,-93.2476225,44.97037639,-10380277,5616859,Cedar Riverside,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,155
-93.2703961005486,45.0006448169816,0013XX MARSHALL ST NE,MP20216894          ,2     ,2021/01/10 00:00:00+00,1713,2021/01/03 00:00:00+00,2021/01/10 17:13:00+00,1200,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/01/11 00:00:00+00,14374,-93.27039647,45.00065106,-10382813,5621623,Sheridan,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,156
-93.24469530027,44.9630541987961,0019XX MINNEHAHA AVE ,MP20216911          ,3     ,2021/01/10 00:00:00+00,2030,2021/01/10 00:00:00+00,2021/01/10 20:30:00+00,1717,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,16989,-93.2447022,44.96305499,-10379952,5615707,Seward,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,157
-93.2911741330703,44.9684566658932,00005X GROVELAND TERR ,MP20216951          ,5     ,2021/01/10 00:00:00+00,1801,2021/01/09 00:00:00+00,2021/01/10 18:01:00+00,2030,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,15047,-93.29117904,44.96845738,-10385126,5616557,Lowry Hill,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,158
-93.2232075986738,44.9596281354598,0023XX MINNEAPOLIS AVE ,MP20216959          ,3     ,2021/01/10 00:00:00+00,1903,2021/01/09 00:00:00+00,2021/01/10 19:03:00+00,2000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,17204,-93.22321111,44.95963007,-10377560,5615168,Seward,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,159
-93.2772682124721,44.9794062235026,,MP20216962          ,1     ,2021/01/10 00:00:00+00,1840,2021/01/10 00:00:00+00,2021/01/10 18:40:00+00,1840,ASLT4   ,ASLT4-LESS THAN SUBST HARM    ,05 ,2021/01/10 00:00:00+00,,-93.27727,44.97941,-10383578,5618280,Downtown West,2021/01/12 00:00:00+00,2021/01/13 07:00:46+00,160
-93.2149161486014,44.9704459167801,00001X ARTHUR AVE SE,MP20216973          ,2     ,2021/01/10 00:00:00+00,1843,2021/01/09 00:00:00+00,2021/01/10 18:43:00+00,1800,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,13628,-93.21492377,44.97044943,-10376637,5616870,Prospect Park - East River Road,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,161
-93.3143686337063,45.0466844880414,0050XX THOMAS AVE N,MP20216975          ,4     ,2021/01/10 00:00:00+00,1917,2021/01/10 00:00:00+00,2021/01/10 19:17:00+00,1917,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/01/11 00:00:00+00,10078,-93.31437173,45.04668522,-10387708,5628874,Shingle Creek,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,162
-93.230834295436,44.9332170651168,0038XX 29TH AVE S,MP20216987          ,3     ,2021/01/10 00:00:00+00,2140,2021/01/10 00:00:00+00,2021/01/10 21:40:00+00,1905,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,15580,-93.23084226,44.93321797,-10378409,5611014,Standish,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,163
-93.2542803243515,44.9305205959461,0014XX 40TH ST E,MP20216993          ,3     ,2021/01/10 00:00:00+00,1918,2021/01/10 00:00:00+00,2021/01/10 19:18:00+00,1918,CARJCK  ,ROBBERY INCLUDING AUTO THEFT  ,,2021/01/11 00:00:00+00,11971,-93.25428908,44.93052493,-10381019,5610590,Bancroft,2021/01/12 00:00:00+00,2021/01/13 07:00:46+00,164
-93.2444617382961,44.9891148191638,0005XX 8TH ST SE,MP2021700175        ,2     ,2021/01/09 00:00:00+00,956,2021/01/08 00:00:00+00,2021/01/09 09:56:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/11 00:00:00+00,14842,-93.24446354,44.9891175,-10379926,5619808,Marcy Holmes,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,165
-93.2587629176193,44.976419610156,0007XX 3RD ST S,MP2021700185        ,1     ,2021/01/10 00:00:00+00,725,2021/01/10 00:00:00+00,2021/01/10 07:25:00+00,304,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/11 00:00:00+00,20014,-93.25877019,44.97642087,-10381518,5617810,Downtown East,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,166
-93.2766304086204,44.9404409434344,0034XX 1ST AVE S,MP2021700188        ,5     ,2021/01/09 00:00:00+00,1215,2020/12/09 00:00:00+00,2021/01/09 12:15:00+00,200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/11 00:00:00+00,15410,-93.27663397,44.94044624,-10383507,5612150,Lyndale,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,167
-93.246051756349,44.9278240001749,0041XX LONGFELLOW AVE ,MP2021700189        ,3     ,2021/01/09 00:00:00+00,1130,2021/01/02 00:00:00+00,2021/01/09 11:30:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/11 00:00:00+00,12587,-93.2460605,44.92782938,-10380103,5610166,Standish,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,168
-93.2447941149512,44.9964205966971,0006XX POLK ST NE,MP2021700190        ,2     ,2021/01/10 00:00:00+00,1550,2021/01/04 00:00:00+00,2021/01/10 15:50:00+00,300,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/01/11 00:00:00+00,15979,-93.24480117,44.99642594,-10379963,5620958,Beltrami,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,169
-93.2677281041548,44.8978412870817,0058XX PORTLAND AVE ,MP2021700193        ,3     ,2021/01/10 00:00:00+00,2002,2021/01/10 00:00:00+00,2021/01/10 20:02:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/11 00:00:00+00,20502,-93.26773037,44.89784407,-10382516,5605453,Diamond Lake,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,170
-93.2695876167929,44.9841590660791,0001XX 2ND ST N,MP2021700194        ,1     ,2021/01/11 00:00:00+00,211,2020/11/28 00:00:00+00,2021/01/11 02:11:00+00,0,THEFT   ,OTHER THEFT                   ,07 ,2021/01/11 00:00:00+00,17606,-93.2695916,44.98415998,-10382723,5619028,North Loop,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,171
-93.2499234952235,44.9528453250762,0027XX 17TH AVE S,MP2021700208        ,3     ,2021/01/11 00:00:00+00,1134,2021/01/02 00:00:00+00,2021/01/11 11:34:00+00,215,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/01/11 00:00:00+00,15520,-93.24992504,44.95285128,-10380534,5614101,East Phillips,2021/01/20 00:00:00+00,2021/01/21 07:00:56+00,172
-93.263757550599,44.9278367202634,0041XX COLUMBUS AVE ,MP20217010          ,3     ,2021/01/10 00:00:00+00,2125,2021/01/10 00:00:00+00,2021/01/10 21:25:00+00,1915,ROBPAG  ,ROBBERY PER AGG               ,04 ,2021/01/11 00:00:00+00,12360,-93.26376354,44.92784146,-10382074,5610168,Bryant,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,173
-93.2402037238493,44.9848389191014,0009XX 6TH ST SE,MP20217022          ,2     ,2021/01/10 00:00:00+00,2019,2020/12/31 00:00:00+00,2021/01/10 20:19:00+00,2359,CSCR    ,CSC - RAPE                    ,03 ,2021/01/11 00:00:00+00,17733,-93.24020967,44.98484107,-10379452,5619135,Marcy Holmes,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,174
-93.2333046624673,44.9887463291921,0010XX 13TH AVE SE,MP20217026          ,2     ,2021/01/10 00:00:00+00,2145,2021/01/10 00:00:00+00,2021/01/10 21:45:00+00,2145,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,18007,-93.23330586,44.98874798,-10378684,5619750,Como,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,175
-93.2843020211468,44.9456675140313,0031XX GRAND AVE S,MP20217052          ,5     ,2021/01/10 00:00:00+00,2121,2021/01/10 00:00:00+00,2021/01/10 21:21:00+00,2120,ROBPAG  ,ROBBERY PER AGG               ,04 ,2021/01/11 00:00:00+00,14076,-93.28430243,44.94566918,-10384361,5612972,Lyndale,2021/01/12 00:00:00+00,2021/01/13 07:00:46+00,176
