Grid,Date,Block,CallDisposition,Incident,IncType,Neighborhood
107.0,2020-01-29 21:25:44,44x lexington pa n,Gone on Arrival,Auto Theft,Motor Vehicle Theft,8 - Summit/University
107.0,2020-01-25 18:08:00,101x carroll av,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",8 - Summit/University
107.0,2020-01-25 00:14:12,97x iglehart av,Gone on Arrival,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-20 17:00:00,86x central av w,Report Written,Auto Theft,"Motor Vehicle Theft, All Other Vehicles",8 - Summit/University
107.0,2020-01-19 08:51:49,91x central av w,Advised,Auto Theft,Motor Vehicle Theft,8 - Summit/University
107.0,2020-01-18 13:35:18,90x aurora av,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2020-01-13 00:00:00,97x carroll av,Report Written,Auto Theft,"Motor Vehicle Theft, Trucks and Buses",8 - Summit/University
107.0,2020-01-11 10:30:00,27x lexington pa n,Report Written,Theft,"Theft, From Auto, Under $500",8 - Summit/University
107.0,2020-01-04 19:05:21,97x university av w,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-04 16:47:11,44x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2020-01-03 03:59:09,96x university av w,Report Written,Arson,Arson,8 - Summit/University
107.0,2020-01-02 06:20:00,99x carroll av,Report Written,Auto Theft,"Motor Vehicle Theft, All Other Vehicles",8 - Summit/University
107.0,2020-01-02 01:10:52,87x fuller av,Advised,Discharge,"Weapons, Discharging a Firearm in the City Limits",8 - Summit/University
107.0,2020-01-01 18:13:00,concordia av  & victoria,Report Written,Narcotics,"Narcotics, Possession of Cocaine",8 - Summit/University
107.0,2019-12-31 18:00:00,86x aurora av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-30 09:12:00,90x fuller av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-29 03:34:51,98x fuller av,Advised,Narcotics,Narcotics,8 - Summit/University
107.0,2019-12-27 14:40:00,94x university av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-20 22:15:00,42x oxford st n,Report Written,Vandalism,"Criminal Damage to Property (Gross Mis., $250-$500)",8 - Summit/University
107.0,2019-12-16 04:27:00,90x fuller av,Report Written,Burglary,"Burglary, Forced Entry, Night, Residence, Occupied",8 - Summit/University
107.0,2019-12-16 02:30:00,93x concordia av,Report Written,Burglary,"Burglary, Forced Entry, Night, Residence",8 - Summit/University
107.0,2019-12-15 13:40:00,37x lexington pa n,Report Written,Theft,"Theft, All Other, Under $500",8 - Summit/University
107.0,2019-12-13 06:07:00,93x concordia av,Report Written,Theft,Theft - Mail/Package,8 - Summit/University
107.0,2019-12-10 15:25:52,97x university av w,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
107.0,2019-12-09 00:00:00,95x aurora av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-07 20:11:33,lexington pa n & marshall,Advised,Auto Theft,Motor Vehicle Theft,8 - Summit/University
107.0,2019-12-06 18:00:00,100x carroll av,Report Written,Simple Asasult Dom.,"Assault, Domestic, Opposite Sex",8 - Summit/University
107.0,2019-12-05 06:30:00,37x lexington pa n,Report Written,Theft,"Theft, All Other, Over $1000",8 - Summit/University
107.0,2019-12-03 14:53:00,101x carroll av,Report Written,Simple Asasult Dom.,"Assault, Domestic, Opposite Sex",8 - Summit/University
107.0,2019-12-02 15:55:00,95x fuller av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",8 - Summit/University
107.0,2019-12-01 06:29:11,42x oxford st n,Advised,Theft,"Theft, Except Auto Theft",8 - Summit/University
106.0,2020-01-28 08:22:22,112x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-27 23:04:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-27 19:38:53,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-27 17:45:00,124x stanthony av,Report Written,Simple Asasult Dom.,"Assault, Domestic, Opposite Sex",13 - Union Park
106.0,2020-01-27 09:35:00,128x concordia av,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2020-01-27 08:00:00,128x concordia av,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2020-01-27 03:01:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2020-01-26 18:50:00,130x university av w,Report Written,Theft,"Theft, Purse Snatching, $501 to $1000",13 - Union Park
106.0,2020-01-26 17:21:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-26 16:09:00,39x lexington pa n,Report Written,Vandalism,"Criminal Damage to Property (Misdemeanor, Under $250)",13 - Union Park
106.0,2020-01-26 15:15:00,130x university av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",13 - Union Park
106.0,2020-01-25 22:02:01,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2020-01-25 17:11:40,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2020-01-24 20:59:28,112x university av w,Gone on Arrival,Narcotics,Narcotics,13 - Union Park
106.0,2020-01-24 18:20:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-24 17:23:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-23 22:54:42,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-23 19:37:00,27x lexington pa n,Report Written,Theft,"Theft, Pocket Picking, Over $1000",13 - Union Park
106.0,2020-01-21 20:58:33,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-21 11:46:14,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-21 07:23:00,130x university av w,Report Written,Theft,"Theft, All Other, $501 to $1000",13 - Union Park
106.0,2020-01-20 13:30:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2020-01-18 23:04:58,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-18 20:06:03,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-17 12:30:00,40x dunlap st n,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",13 - Union Park
106.0,2020-01-15 17:08:00,130x university av w,Report Written,Theft,"Theft, From Auto, Over $1000",13 - Union Park
106.0,2020-01-15 13:36:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-15 10:55:17,griggs st n & carroll,Report Written,Theft,"Theft, From Auto",13 - Union Park
106.0,2020-01-14 15:41:51,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2020-01-14 15:22:00,130x university av w,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",13 - Union Park
106.0,2020-01-13 14:30:00,27x lexington pa n,Report Written,Theft,"Theft, All Other, Over $1000",13 - Union Park
106.0,2020-01-12 15:25:12,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-12 14:42:26,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-12 13:10:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-11 17:18:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-11 14:00:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2020-01-10 13:10:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-10 12:20:44,27x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-09 20:00:00,127x university av w,Report Written,Graffiti,Graffiti,13 - Union Park
106.0,2020-01-09 19:22:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-09 14:00:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2020-01-08 21:45:00,130x university av w,Report Written,Theft,"Theft, All Other, $501 to $1000",13 - Union Park
106.0,2020-01-08 17:17:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Over $1000",13 - Union Park
106.0,2020-01-08 12:00:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, $501 to $1000",13 - Union Park
106.0,2020-01-06 10:30:12,112x university av w,Gone on Arrival,Narcotics,Narcotics,13 - Union Park
106.0,2020-01-05 18:22:11,130x university av w,Advised,Theft,"Theft, From Auto",13 - Union Park
106.0,2020-01-03 23:06:43,130x university av w,Report Written,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-03 07:30:12,39x lexington pa n,Gone on Arrival,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2020-01-01 08:00:00,130x university av w,Report Written,Theft,"Theft, From Auto, Under $500",13 - Union Park
106.0,2019-12-31 19:30:00,119x university av w,Report Written,Vandalism,"Criminal Damage to Property (Gross Mis., $250-$500)",13 - Union Park
106.0,2019-12-31 18:37:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-31 10:30:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-31 08:33:55,128x concordia av,Advised,Auto Theft,Motor Vehicle Theft,13 - Union Park
106.0,2019-12-30 10:22:49,113x university av w,Gone on Arrival,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-30 09:45:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-29 19:36:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-29 17:25:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-29 12:45:00,47x hamline av n,Report Written,Theft,"Theft, Shoplifting, $501 to $1000",13 - Union Park
106.0,2019-12-28 17:22:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2019-12-28 08:45:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-27 18:52:00,130x university av w,Report Written,Theft,"Theft, All Other, Over $1000",13 - Union Park
106.0,2019-12-27 11:53:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-27 00:00:00,125x concordia av,Report Written,Theft,"Theft, From Auto, $501 to $1000",13 - Union Park
106.0,2019-12-26 13:14:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-24 22:18:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-24 18:04:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-24 15:59:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-24 12:29:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, $501 to $1000",13 - Union Park
106.0,2019-12-23 21:01:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-23 15:00:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2019-12-23 10:19:56,130x university av w,Gone on Arrival,Auto Theft,Motor Vehicle Theft,13 - Union Park
106.0,2019-12-22 16:33:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-22 12:08:51,112x university av w,Advised,Narcotics,Narcotics,13 - Union Park
106.0,2019-12-22 09:51:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-21 19:52:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, $501 to $1000",13 - Union Park
106.0,2019-12-21 16:32:19,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-21 13:28:42,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-20 14:24:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-20 10:46:00,45x syndicate st n,Advised,Theft,"Theft, From Auto",13 - Union Park
106.0,2019-12-19 11:39:46,27x lexington pa n,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-18 19:51:29,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-18 18:33:15,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-18 15:15:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2019-12-18 13:41:51,130x university av w,Report Written,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2019-12-17 23:16:58,130x university av w,Report Written,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-17 14:01:00,112x university av w,Report Written,Agg. Assault,"Aggravated Assault, Firearm",13 - Union Park
106.0,2019-12-17 11:00:00,27x lexington pa n,Report Written,Narcotics,"Narcotics, Possession of Marijuana",13 - Union Park
106.0,2019-12-17 09:45:00,27x lexington pa n,Report Written,Narcotics,"Narcotics, Possession of Marijuana",13 - Union Park
106.0,2019-12-16 17:00:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-16 12:57:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-15 11:23:36,130x university av w,Advised,Theft,"Theft, Except Auto Theft",13 - Union Park
106.0,2019-12-15 08:07:02,39x lexington pa n,Advised,Narcotics,Narcotics,13 - Union Park
106.0,2019-12-15 00:33:04,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2019-12-13 21:43:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, $501 to $1000",13 - Union Park
106.0,2019-12-13 19:00:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-13 18:45:52,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2019-12-13 17:08:02,130x university av w,Advised,Theft,"Theft, Shoplifting",13 - Union Park
106.0,2019-12-13 10:18:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
106.0,2019-12-12 20:29:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-12 14:44:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-12 00:03:00,130x university av w,Report Written,Narcotics,"Narcotics, Possession of Methamphetamine",13 - Union Park
106.0,2019-12-11 22:09:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-11 11:24:24,115x central av w,Gone on Arrival,Narcotics,Narcotics,13 - Union Park
106.0,2019-12-09 17:01:00,124x stanthony av,Report Written,Auto Theft,"Motor Vehicle Theft, Automobile",13 - Union Park
106.0,2019-12-09 13:51:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-08 16:02:00,130x university av w,Report Written,Theft,"Theft, Shoplifting, Under $500",13 - Union Park
106.0,2019-12-08 14:13:00,130x university av w,Report Written,Theft,"Theft, All Other, Under $500",13 - Union Park
