Ward,Precinct,Reg_Vote_10/1/19,Tot_Early/Absentee_Vote,Winner1st_Vote,Total_Vote,Early/Abs_Vote%,LastCouncil_Vote%,Tot_Vote%,Vote_Diff%,Winner_Vote%,SchoolBoard_Vote,SchoolBoard_Vote%,Min_DFL(endorse),DFL_Vote%,Trash_Yes,Trash_No,Trash_Total,Trash_No%,NO_Cand1st_Vote ,No_Cand_Align,YES_Cand1st_Vote ,Yes_Cand_Align,Trash_Vote_Diff
1,Saint Paul W-1 P-1,1170,39,228,569,6.85,24.78%,48.63,23.85,40.07,402,70.65,242,60.20,431,151,582,25.95,33,-118,531,100,13
1,Saint Paul W-1 P-2,2185,126,389,778,16.20,13.10%,35.61,22.51,50.00,490,62.98,290,59.18,561,203,764,26.57,38,-165,737,176,-14
1,Saint Paul W-1 P-3,1914,37,178,491,7.54,9.71%,25.65,15.94,36.25,289.75,59.01,148,51.08,307,176,483,36.44,40,-136,450,143,-8
1,Saint Paul W-1 P-4,1389,39,154,359,10.86,10.57%,25.85,15.28,42.90,219,61.00,126,57.53,210,139,349,39.83,35,-104,324,114,-10
1,Saint Paul W-1 P-5,1376,34,105,357,9.52,11.29%,25.94,14.65,29.41,232.5,65.13,79,33.98,177,172,349,49.28,16,-156,341,164,-8
1,Saint Paul W-1 P-6,2810,78,309,924,8.44,12.51%,32.88,20.37,33.44,615,66.56,357,58.05,590,321,911,35.24,66,-255,854,264,-13
1,Saint Paul W-1 P-7,1495,61,274,665,9.17,18.28%,44.48,26.20,41.20,460.75,69.29,312,67.72,456,211,667,31.63,47,-164,614,158,2
1,Saint Paul W-1 P-8,2140,77,233,636,12.11,12.79%,29.72,16.93,36.64,397.75,62.54,245,61.60,427,212,639,33.18,43,-169,590,163,3
1,Saint Paul W-1 P-9,2367,53,246,460,11.52,8.18%,19.43,11.25,53.48,290.5,63.15,118,40.62,238,213,451,47.23,45,-168,411,173,-9
1,Saint Paul W-1 P-10,469,7,40,98,7.14,7.92%,20.90,12.98,40.82,57,58.16,17,29.82,38,55,93,59.14,18,-37,79,41,-5
1,Saint Paul W-1 P-11,1143,44,78,218,20.18,11.53%,19.07,7.54,35.78,138.5,63.53,51,36.82,119,86,205,41.95,26,-60,191,72,-13
1,Saint Paul W-1 P-12,335,25,69,149,16.78,20.12%,44.48,24.36,46.31,97.75,65.60,59,60.36,102,54,156,34.62,13,-41,135,33,7
