WardCode,PrecinctName,Precinct_Vote,Precinct_Register,Voting%,Total_WardVotes,Total_WardRegistered,Projected_Weight,Actual_Weight,Representation,H_Registered,H_Vote15,H_Density_Vote%,L_Registered,L_Vote15,L_Density_Vote%,H_Density%
5.0,Saint Paul W-5 P-6,195.0,1783,10.94,3396.0,19074,9.35,5.74,-3.61,86,2.0,2.33,1697,193.0,11.37,4.82
5.0,Saint Paul W-5 P-7,112.0,1119,10.01,3396.0,19074,5.87,3.3000000000000003,-2.57,39,7.0,17.95,1080,105.0,9.719999999999999,3.49
5.0,Saint Paul W-5 P-8,219.0,2297,9.53,3396.0,19074,12.04,6.45,-5.589999999999999,472,13.0,2.75,1825,206.0,11.29,20.549999999999997
5.0,Saint Paul W-5 P-9,148.0,1652,8.959999999999997,3396.0,19074,8.66,4.36,-4.3,44,2.0,4.55,1608,146.0,9.08,2.6599999999999997
6.0,Saint Paul W-6 P-1,165.0,1370,12.04,1931.0,18509,7.399999999999999,8.540000000000001,1.1400000000000017,58,3.0,5.17,1312,162.0,12.35,4.2299999999999995
6.0,Saint Paul W-6 P-10,115.0,977,11.77,1931.0,18509,5.28,5.96,0.6799999999999997,136,29.0,21.32,841,86.0,10.23,13.919999999999998
6.0,Saint Paul W-6 P-11,192.0,1627,11.8,1931.0,18509,8.790000000000001,9.94,1.1499999999999986,30,4.0,13.33,1597,188.0,11.77,1.8399999999999999
6.0,Saint Paul W-6 P-2,244.0,1236,19.74,1931.0,18509,6.68,12.64,5.960000000000001,60,7.0,11.67,1176,237.0,20.150000000000002,4.8500000000000005
6.0,Saint Paul W-6 P-3,195.0,1493,13.06,1931.0,18509,8.07,10.1,2.0300000000000007,36,1.0,2.78,1457,194.0,13.320000000000002,2.41
6.0,Saint Paul W-6 P-4,169.0,1867,9.05,1931.0,18509,10.09,8.75,-1.34,288,9.0,3.1199999999999997,1579,160.0,10.13,15.43
6.0,Saint Paul W-6 P-5,200.0,2052,9.75,1931.0,18509,11.09,10.36,-0.7300000000000004,68,0.0,0.0,1984,200.0,10.08,3.3099999999999996
6.0,Saint Paul W-6 P-6,186.0,2391,7.7799999999999985,1931.0,18509,12.920000000000002,9.63,-3.2900000000000027,109,4.0,3.6700000000000004,2282,182.0,7.9799999999999995,4.5600000000000005
6.0,Saint Paul W-6 P-7,70.0,623,11.24,1931.0,18509,3.37,3.63,0.2599999999999998,163,42.0,25.77,460,28.0,6.09,26.16
6.0,Saint Paul W-6 P-8,129.0,1511,8.540000000000001,1931.0,18509,8.16,6.68,-1.4800000000000004,282,42.0,14.89,1229,87.0,7.08,18.66
6.0,Saint Paul W-6 P-9,163.0,2239,7.28,1931.0,18509,12.1,8.44,-3.66,227,3.0,1.32,2012,160.0,7.95,10.14
7.0,Saint Paul W-7 P-1,191.0,2050,9.32,1780.0,19693,10.41,10.73,0.3200000000000003,227,14.0,6.17,1823,177.0,9.71,11.07
7.0,Saint Paul W-7 P-10,106.0,1376,7.7,1780.0,19693,6.99,5.96,-1.0300000000000002,32,6.0,18.75,1344,100.0,7.4399999999999995,2.33
7.0,Saint Paul W-7 P-11,63.0,1205,5.23,1780.0,19693,6.12,3.54,-2.58,746,28.0,3.75,459,35.0,7.630000000000001,61.91
7.0,Saint Paul W-7 P-12,266.0,2565,10.37,1780.0,19693,13.02,14.94,1.92,834,48.0,5.76,1731,218.0,12.590000000000002,32.51
7.0,Saint Paul W-7 P-13,244.0,1862,13.1,1780.0,19693,9.46,13.71,4.25,399,44.0,11.03,1463,200.0,13.669999999999998,21.43
7.0,Saint Paul W-7 P-2,71.0,1247,5.69,1780.0,19693,6.329999999999999,3.99,-2.3399999999999994,21,1.0,4.760000000000001,1226,70.0,5.71,1.68
7.0,Saint Paul W-7 P-3,96.0,1420,6.76,1780.0,19693,7.21,5.3900000000000015,-1.8199999999999996,18,0.0,0.0,1402,96.0,6.8500000000000005,1.27
7.0,Saint Paul W-7 P-4,75.0,894,8.39,1780.0,19693,4.54,4.21,-0.3300000000000001,116,15.0,12.93,778,60.0,7.71,12.98
7.0,Saint Paul W-7 P-5,253.0,1348,18.77,1780.0,19693,6.8500000000000005,14.21,7.36,268,58.0,21.64,1080,195.0,18.060000000000002,19.88
7.0,Saint Paul W-7 P-7,93.0,1190,7.82,1780.0,19693,6.04,5.2200000000000015,-0.8199999999999994,270,32.0,11.85,920,61.0,6.63,22.689999999999998
7.0,Saint Paul W-7 P-8,137.0,1672,8.19,1780.0,19693,8.49,7.7,-0.79,212,3.0,1.4200000000000002,1460,134.0,9.180000000000001,12.68
7.0,Saint Paul W-7 P-9,103.0,1508,6.83,1780.0,19693,7.66,5.79,-1.87,89,0.0,0.0,1419,103.0,7.26,5.8999999999999995
