Address,Latitude,Longitude,TotalMemberHH
"925 PARK ST, ST PAUL, MN, 55117",44.969243,-93.104174,2.0
"925 SYLVAN ST, ST PAUL, MN, 55117",44.9690944,-93.1017396,1.0
"925 WESTERN AVE N, ST PAUL, MN, 55117",44.96906190000001,-93.116355,3.0
"925 WOODBRIDGE ST, ST PAUL, MN, 55117",44.9692229,-93.10875779999999,1.0
"926 AURORA AVE, ST PAUL, MN, 55104",44.954662,-93.1393654,3.0
"926 CENTRAL AVE W, ST PAUL, MN, 55104",44.9528405,-93.1393654,2.0
"926 CHARLES AVE, ST PAUL, MN, 55104",44.9573224,-93.1393249,2.0
"926 DAYTON AVE, ST PAUL, MN, 55104",44.9472464,-93.1394242,4.0
"926 FULLER AVE, ST PAUL, MN, 55104",44.9537149,-93.1393654,2.0
"926 PARK ST, ST PAUL, MN, 55117",44.9691899,-93.1035967,1.0
"926 WESTERN AVE N, ST PAUL, MN, 55117",44.9690758,-93.11584549999999,1.0
"926 WOODBRIDGE ST, ST PAUL, MN, 55117",44.9692835,-93.1082044,1.0
"927 1/2 UNIVERSITY AVE W, ST PAUL, MN, 55104",44.9550881,-93.1624102,1.0
"927 CARROLL AVE, ST PAUL, MN, 55104",44.9505553,-93.139935,1.0
"927 CENTRAL AVE W, ST PAUL, MN, 55104",44.95324129999999,-93.1393654,1.0
"927 CHARLES AVE, ST PAUL, MN, 55104",44.957799,-93.13933,2.0
"927 EDMUND AVE, ST PAUL, MN, 55104",44.9586299,-93.13946829999999,1.0
"927 IGLEHART AVE, ST PAUL, MN, 55104",44.94963449999999,-93.1393654,3.0
"927 PORTLAND AVE, ST PAUL, MN, 55104",44.9430948,-93.13934580000002,2.0
"927 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568665,-93.13934580000002,3.0
"927 ST ANTHONY AVE, ST PAUL, MN, 55104",44.9523294,-93.13940459999999,3.0
"927 WOODBRIDGE ST, ST PAUL, MN, 55117",44.969295,-93.1087853,1.0
"928 EDMUND AVE, ST PAUL, MN, 55104",44.958229300000006,-93.1394637,2.0
"928 HAGUE AVE, ST PAUL, MN, 55104",44.94558809999999,-93.1394438,3.0
"928 IGLEHART AVE, ST PAUL, MN, 55104",44.9492316,-93.1394438,2.0
"928 LAFOND AVE, ST PAUL, MN, 55104",44.9600507,-93.13946690000002,3.0
"928 LAUREL AVE, ST PAUL, MN, 55104",44.9447688,-93.1394242,2.0
"928 WOODBRIDGE ST, ST PAUL, MN, 55117",44.969354,-93.1082907,1.0
"929 1/2 UNIVERSITY AVE W, ST PAUL, MN, 55104",44.9550881,-93.1624102,1.0
"929 ALBEMARLE ST, ST PAUL, MN, 55117",44.96923820000001,-93.10752159999998,1.0
"929 AURORA AVE, ST PAUL, MN, 55104",44.9550429,-93.1394242,1.0
"929 CHARLES AVE, ST PAUL, MN, 55104",44.9577187,-93.1394863,3.0
"929 EDMUND AVE, ST PAUL, MN, 55104",44.9586619,-93.1396291,1.0
"929 FULLER AVE, ST PAUL, MN, 55104",44.9541477,-93.13952220000002,3.0
"929 HAGUE AVE, ST PAUL, MN, 55104",44.9459889,-93.1394438,2.0
"929 LAUREL AVE, ST PAUL, MN, 55104",44.945206,-93.1394242,2.0
"929 SELBY AVE, ST PAUL, MN, 55104",44.9468269,-93.1394438,2.0
"929 SHERBURNE AVE, ST PAUL, MN, 55104",44.9568445,-93.139483,2.0
"929 SUMMIT AVE, ST PAUL, MN, 55105",44.9418537,-93.1394242,7.0
"929 THOMAS AVE, ST PAUL, MN, 55104",44.9595588,-93.1394719,1.0
"93 ATWATER ST, ST PAUL, MN, 55117",44.966773,-93.1040419,1.0
"93 KENT ST, ST PAUL, MN, 55102",44.9440959,-93.1240631,5.0
"93 LEXINGTON PKWY N, ST PAUL, MN, 55104",44.94432270000001,-93.1471715,3.0
"93 MILTON ST N, ST PAUL, MN, 55104",44.9442463,-93.13920859999999,5.0
"93 SYCAMORE ST W, ST PAUL, MN, 55117",44.9649711,-93.1039839,1.0
"930 ALBEMARLE ST, ST PAUL, MN, 55117",44.9692075,-93.106978,1.0
"930 AURORA AVE, ST PAUL, MN, 55104",44.95465770000001,-93.13952220000002,2.0
"930 CARROLL AVE, ST PAUL, MN, 55104",44.9501038,-93.13952220000002,1.0
"930 CENTRAL AVE W, ST PAUL, MN, 55104",44.95283620000001,-93.13952220000002,2.0
"930 CHARLES AVE, ST PAUL, MN, 55104",44.9573544,-93.1394856,2.0
"930 EDMUND AVE, ST PAUL, MN, 55104",44.9582624,-93.1395852,2.0
"930 FULLER AVE, ST PAUL, MN, 55104",44.9537189,-93.13955159999999,2.0
"930 LAUREL AVE, ST PAUL, MN, 55104",44.94476450000001,-93.139581,5.0
"930 MARION ST, ST PAUL, MN, 55117",44.9693838,-93.1095416,1.0
"930 MARSHALL AVE, ST PAUL, MN, 55104",44.9482843,-93.1394438,4.0
"930 PORTLAND AVE, ST PAUL, MN, 55104",44.9425803,-93.1395026,1.0
"930 WESTERN AVE N, ST PAUL, MN, 55117",44.9691765,-93.115827,1.0
"930 WOODBRIDGE ST, ST PAUL, MN, 55117",44.9695004,-93.1082673,1.0
"931 ASHLAND AVE, ST PAUL, MN, 55104",44.9441638,-93.1395614,2.0
"931 CARROLL AVE, ST PAUL, MN, 55104",44.9505549,-93.139977,3.0
"931 CENTRAL AVE W, ST PAUL, MN, 55104",44.9532734,-93.13952220000002,2.0
"931 IGLEHART AVE, ST PAUL, MN, 55104",44.94963020000001,-93.13952220000002,1.0
"931 MARSHALL AVE, ST PAUL, MN, 55104",44.9487922,-93.13952220000002,3.0
"931 PORTLAND AVE, ST PAUL, MN, 55104",44.9430905,-93.1395026,2.0
"931 ST ANTHONY AVE, ST PAUL, MN, 55104",44.95232619999999,-93.13952220000002,1.0
"932 CHARLES AVE, ST PAUL, MN, 55104",44.95735120000001,-93.1396032,1.0
"932 CONCORDIA AVE, ST PAUL, MN, 55104",44.95102259999999,-93.1398945,29.0
"932 DAYTON AVE, ST PAUL, MN, 55104",44.9472234,-93.1396006,1.0
"932 GALTIER ST, ST PAUL, MN, 55117",44.96935850000001,-93.1108063,1.0
"932 HAGUE AVE, ST PAUL, MN, 55104",44.9455827,-93.1396398,2.0
"932 IGLEHART AVE, ST PAUL, MN, 55104",44.9492273,-93.1396006,2.0
"932 MARSHALL AVE, ST PAUL, MN, 55104",44.9482789,-93.1396398,2.0
"932 SHERBURNE AVE, ST PAUL, MN, 55104",44.9564406,-93.1396006,1.0
"932 THOMAS AVE, ST PAUL, MN, 55104",44.9591726,-93.1396065,2.0
"933 ALBEMARLE ST, ST PAUL, MN, 55117",44.9694479,-93.1075149,2.0
"933 CARROLL AVE, ST PAUL, MN, 55104",44.9505546,-93.1399981,2.0
"933 CENTRAL AVE W, ST PAUL, MN, 55104",44.9533105,-93.1396008,1.0
"933 FULLER AVE, ST PAUL, MN, 55104",44.9541434,-93.139679,1.0
"933 GALTIER ST, ST PAUL, MN, 55117",44.9694911,-93.11129230000002,2.0
"933 HAGUE AVE, ST PAUL, MN, 55104",44.9459846,-93.1396006,3.0
"933 LAUREL AVE, ST PAUL, MN, 55104",44.9451829,-93.1396006,2.0
"933 MARION ST, ST PAUL, MN, 55117",44.9694151,-93.1100657,2.0
"933 WOODBRIDGE ST, ST PAUL, MN, 55117",44.969379,-93.108858,2.0
"934 ASHLAND AVE, ST PAUL, MN, 55104",44.943667,-93.1397377,7.0
"934 CARROLL AVE, ST PAUL, MN, 55104",44.9500995,-93.139679,3.0
"934 CENTRAL AVE W, ST PAUL, MN, 55104",44.9528684,-93.139679,2.0
"934 FARRINGTON ST, ST PAUL, MN, 55117",44.96943570000001,-93.11333,1.0
"934 FULLER AVE, ST PAUL, MN, 55104",44.9537427,-93.139679,2.0
"934 PORTLAND AVE, ST PAUL, MN, 55104",44.94259260000001,-93.1397181,2.0
"935 ASHLAND AVE, ST PAUL, MN, 55104",44.944123,-93.1397181,2.0
"935 AURORA AVE, ST PAUL, MN, 55104",44.9550177,-93.139679,1.0
"935 CARROLL AVE, ST PAUL, MN, 55104",44.9505544,-93.1400191,2.0
"935 CENTRAL AVE W, ST PAUL, MN, 55104",44.95323270000001,-93.139679,1.0
"935 DAYTON AVE, ST PAUL, MN, 55104",44.947697,-93.1396006,2.0
"935 LAFOND AVE, ST PAUL, MN, 55104",44.9606222,-93.1398834,1.0
"935 MARSHALL AVE, ST PAUL, MN, 55104",44.9487275,-93.1397367,1.0
"935 PORTLAND AVE, ST PAUL, MN, 55104",44.9431028,-93.1397181,3.0
"935 ST ANTHONY AVE, ST PAUL, MN, 55104",44.9523406,-93.1396594,6.0
"935 THOMAS AVE, ST PAUL, MN, 55104",44.9595368,-93.1396071,3.0
"936 ALBEMARLE ST, ST PAUL, MN, 55117",44.9694265,-93.1069624,2.0
"936 AURORA AVE, ST PAUL, MN, 55104",44.95461270000001,-93.1398357,2.0
"936 CHARLES AVE, ST PAUL, MN, 55104",44.9573469,-93.13976,2.0
"936 DAYTON AVE, ST PAUL, MN, 55104",44.9472555,-93.1397573,2.0
"936 EDMUND AVE, ST PAUL, MN, 55104",44.95825809999999,-93.139742,1.0
"936 FARRINGTON ST, ST PAUL, MN, 55117",44.969488,-93.113268,1.0
"936 LAFOND AVE, ST PAUL, MN, 55104",44.9600795,-93.1397453,2.0
"936 LAUREL AVE, ST PAUL, MN, 55104",44.9447778,-93.1397573,3.0
