IndexKey,Coordinates,OutputKey
marion_stanthony,"44.951379, -93.110043",marion_stanthony
stanthony_ravoux,"44.951390, -93.113338",stanthony_ravoux
galtier_aurora,"44.954891, -93.111016",galtier_aurora
galtier_fuller,"44.953991, -93.111021",galtier_fuller
farrington_aurora,"44.954888, -93.113270",farrington_aurora
farrington_fuller,"44.953989, -93.113264",farrington_fuller
farrington_virginia,"44.952219, -93.113287",farrington_virginia
farrington_ravoux,"44.952148, -93.113235",farrington_ravoux
virginia_aurora,"44.954881, -93.114693",virginia_aurora
virginia_fuller,"44.953981, -93.114697",virginia_fuller
western_aurora,"44.954906, -93.116150",western_aurora
western_fuller,"44.953985, -93.116142",western_fuller
western_central,"44.953090, -93.116145",western_central
western_stanthony,"44.951786, -93.116136",western_stanthony
arundel_central,"44.953081, -93.118654",arundel_central
arundel_stanthony,"44.952177, -93.118666",arundel_stanthony
arundel_aurora,"44.954895, -93.118649",arundel_aurora
mackubin_aurora,"44.954884, -93.121223",mackubin_aurora
kent_central,"44.953043, -93.123781",kent_central
kent_stanthony,"44.952165, -93.123766",kent_stanthony
dale_aurora,"44.954812, -93.126369",dale_aurora
dale_fuller,"44.953949, -93.126372",dale_fuller
dale_central,"44.953021, -93.126372",dale_central
dale_stanthony,"44.952142, -93.126381",dale_stanthony
stalbans_aurora,"44.954812, -93.128893",stalbans_aurora
stalbans_fuller,"44.953939, -93.128892",stalbans_fuller
stalbans_central,"44.953038, -93.128879",stalbans_central
stalbans_stanthony,"44.952151, -93.128878",stalbans_stanthony
grotto_aurora,"44.954828, -93.131430",grotto_aurora
grotto_fuller,"44.953936, -93.131418",grotto_fuller
grotto_central,"44.953045, -93.131414",grotto_central
grotto_stanthony,"44.952159, -93.131401",grotto_stanthony
avon_aurora,"44.954832, -93.133240",avon_aurora
avon_fuller,"44.953940, -93.133228",avon_fuller
avon_central,"44.953048, -93.133223",avon_central
avon_stanthony,"44.952160, -93.133218",avon_stanthony
fisk_aurora,"44.954830, -93.136487",fisk_aurora
fisk_fuller,"44.953945, -93.134856",fisk_fuller
fisk_central,"44.953047, -93.134838",fisk_central
victoria_aurora,"44.954830, -93.136487",victoria_aurora
victoria_fuller,"44.953944, -93.136480",victoria_fuller
victoria_central,"44.953056, -93.136481",victoria_central
victoria_stanthony,"44.952147, -93.136472",victoria_stanthony
milton_aurora,"44.954836, -93.139027",milton_aurora
milton_fuller,"44.953947, -93.139021",milton_fuller
milton_central,"44.953054, -93.139016",milton_central
