index,Block,Address,Latitude,Longitude
138,107x charles av,"1070 Charles Ave, St Paul, MN 55104, USA",44.95735699999999,-93.1453633
139,107x edmund av,"1070 Edmund Ave W, St Paul, MN 55104, USA",44.9582474,-93.1454415
140,107x englewood av,"1070 Englewood Ave, St Paul, MN 55104, USA",44.9636941,-93.1454307
141,107x flandrau st,"1070 Flandrau St, St Paul, MN 55106, USA",44.9738013,-93.0275274
142,107x front av,"1070 Front Ave, St Paul, MN 55103, USA",44.9700187,-93.1453196
143,107x fuller av,"1070 Fuller Ave, St Paul, MN 55104, USA",44.9537213,-93.1453623
144,107x hazelwood st,"1070 Hazelwood St, St Paul, MN 55106, USA",44.9734973,-93.0352351
145,107x hubbard av,"1070 Hubbard Ave, St Paul, MN 55104, USA",44.96550389999999,-93.1452205
146,107x iglehart av,"1070 Iglehart Ave, St Paul, MN 55104, USA",44.9491829,-93.1452511
147,107x lafond av,"1070 Lafond Ave, St Paul, MN 55104, USA",44.96005359999999,-93.1452796
148,107x marshall av,"1070 Marshall Ave, St Paul, MN 55104, USA",44.9482319,-93.1453678
149,107x minnehaha av w,"1070 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627701,-93.1452834
150,107x piercebutler rd,"1070 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664736,-93.1454021
151,107x reaney av,"1070 Reaney Ave E, St Paul, MN 55106, USA",44.963785,-93.0553052
152,107x seminary av,"1070 W Seminary Ave, St Paul, MN 55104, USA",44.9646124,-93.145304
153,107x sherburne av,"1070 Sherburne Ave, St Paul, MN 55104, USA",44.9564281,-93.1453623
154,107x stanthony av,"1070 St Anthony Ave, St Paul, MN 55104, USA",44.95214379999999,-93.1450488
155,107x stinson st,"1070 Stinson St, St Paul, MN 55103, USA",44.9690653,-93.14536590000002
156,107x thomas av,"1070 Thomas Ave W, St Paul, MN 55104, USA",44.95917559999999,-93.1453728
157,107x university av w,"1070 University Ave W, St Paul, MN 55104, USA",44.95562620000001,-93.1452052
158,107x vanburen av,"1070 Van Buren Ave, St Paul, MN 55104, USA",44.961885,-93.1453834
159,107x virginia st,"1070 Virginia St, St Paul, MN 55117, USA",44.9735548,-93.1145005
160,108x central av w,"1080 Central Ave W, St Paul, MN 55104, USA",44.9530405,-93.14574759999999
161,108x englewood av,"1080 Englewood Ave, St Paul, MN 55104, USA",44.9637171,-93.1458092
162,108x front av,"1080 Front Ave, St Paul, MN 55103, USA",44.9700216,-93.1456958
163,108x hubbard av,"1080 Hubbard Ave, St Paul, MN 55104, USA",44.9655269,-93.1456911
164,108x iglehart av,"1080 Iglehart Ave, St Paul, MN 55104, USA",44.9490579,-93.1452509
165,108x lafond av,"1080 Lafond Ave, St Paul, MN 55104, USA",44.9600644,-93.1456019
166,108x marion st,"1080 Marion St, St Paul, MN 55117, USA",44.9738015,-93.1095598
167,108x marshall av,"1080 Marshall Ave, St Paul, MN 55104, USA",44.9483109,-93.1457738
168,108x sherburne av,"1080 Sherburne Ave, St Paul, MN 55104, USA",44.9564354,-93.1457453
169,108x stinson st,"1080 Stinson St, St Paul, MN 55103, USA",44.9691318,-93.1457727
170,108x thomas av,"1080 Thomas Ave W, St Paul, MN 55104, USA",44.9591874,-93.1457021
171,108x university av w,"1080 University Ave W, St Paul, MN 55104, USA",44.95524150000001,-93.1454603
172,109x aurora av,"1090 Aurora Ave, St Paul, MN 55104, USA",44.9548373,-93.1449698
173,109x charles av,"1090 Charles Ave, St Paul, MN 55104, USA",44.9573596,-93.1459337
