Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Pass1
"270 oxford st n, Saint Paul, MN, 55104",27x oxford st n,3.0,"{'formatted_address': '270 Oxford St N, St Paul, MN 55104, USA', 'latitude': 44.9493409, 'longitude': -93.1438237, 'input_string': '270 oxford st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","270 Oxford St N, St Paul, MN 55104, USA",44.9493409,-93.1438237,
"300 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,1.0,"{'formatted_address': '300 N Mississippi River Blvd, St Paul, MN 55104, USA', 'latitude': 44.9500568, 'longitude': -93.198577, 'input_string': '300 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","300 N Mississippi River Blvd, St Paul, MN 55104, USA",44.9500568,-93.198577,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,109.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,12.0,"{'formatted_address': '390 Robert St N, St Paul, MN 55101, USA', 'latitude': 44.9482015, 'longitude': -93.0913934, 'input_string': '390 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","390 Robert St N, St Paul, MN 55101, USA",44.9482015,-93.0913934,
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,7.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,
"400 lexington pa n, Saint Paul, MN, 55104",4xx lexington pa n,2.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,
"410 lexington pa n, Saint Paul, MN, 55104",41x lexington pa n,3.0,"{'formatted_address': '410 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.9536013, 'longitude': -93.15380429999999, 'input_string': '410 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","410 N Syndicate St, St Paul, MN 55104, USA",44.9536013,-93.15380429999999,
"440 lexington pa n, Saint Paul, MN, 55104",44x lexington pa n,29.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '440 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,
"450 lexington pa n, Saint Paul, MN, 55104",45x lexington pa n,29.0,"{'formatted_address': '450 N Syndicate St # 5, St Paul, MN 55104, USA', 'latitude': 44.9548494, 'longitude': -93.1541089, 'input_string': '450 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","450 N Syndicate St # 5, St Paul, MN 55104, USA",44.9548494,-93.1541089,
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,7.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'input_string': '460 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55104, USA",44.9516643,-93.16290629999999,
